药名,性味,功效,临床应用
升麻,辛、微甘，微寒，肺脾胃大肠,发表透疹，清热解毒，升举阳气,1、用于发热头痛，麻疹透发不畅2、用于热毒所致多种病证3、用于中气下陷所致脱肛，子宫脱垂，崩漏不止
葛根,甘辛凉， 脾胃,解肌退热，透发麻疹生津止渴，升阳举陷,1、用于外感发热，头痛项强2、用于麻疹透发不畅3、用于热病烦渴，内热消渴4、用于热泄热痢，脾虚久泻
淡豆豉,甘辛凉，肺胃,解表，除烦,1.用于外感表证，2.胸中烦闷，虚烦不眠。3.护胃和中。
浮萍,辛寒，肺膀胱,发汗解表，透疹止痒，利水消肿,1.外感风热，发热无汗证，2.麻疹透发不畅，风疹瘙痒，3.水肿，小便不利。
木贼,甘苦平，肺肝,疏散风热，明目退翳，,1.风热目赤，翳障多泪。2.便血，痔血。
石膏,辛、甘，大寒 肺胃,清热泻火，除烦止渴收敛生肌,1、用于气分实热证2、用于肺热咳喘3、用于胃火牙痛4、用于疮疡溃后不敛，湿疹，水火烫伤
知母,苦、甘，寒 肺胃肾,清热泻火，滋阴润燥,1、用于气分实热证2、用于肺热咳嗽，阴虚燥咳3、用于阴虚消渴4、用于骨蒸潮热
寒水石,咸寒，心胃肾,清热泻火,1.用于热病烦渴，2.用于丹毒，烫伤。
芦根,甘，寒 肺胃,清热生津，除烦止渴，利尿,1、用于热病烦渴2、用于肺热呕吐3、用于肺热咳嗽，肺痈咳吐脓血4、用于热淋涩痛
天花粉,甘、微苦，微寒，肺胃,清热生津，消肿排脓,1、用于热病口渴，内热消渴2、用于肺热咳嗽或燥咳3、用于痈肿疮疡
竹叶,甘、辛、淡，寒。心胃小肠,清热除烦，生津，利尿,1、用于热病烦渴2、用于口舌生疮，尿赤涩痛
淡竹叶,甘淡寒，心胃小肠,清热除烦，利尿,1、用于热病烦渴2、用于口舌生疮，尿赤淋浊
莲子心,苦寒，心肾,清心安神，涩精止血,1.用于热病高热神昏，2.用于失眠，遗精。
熊胆,苦寒，肝胆心,清热解毒，清肝明目，息风止痉,1.用于惊痫抽搐，2.用于肝热目赤，3.疮痈，痔疮肿痛。
鸭趾草,甘苦寒，肺胃膀胱,清热泻火，解毒利水,1.热病，2.咽痛，疮疡，毒蛇咬伤，3.水肿，热淋
栀子,苦，寒，心肝肺胃三焦,泻火除烦，清热利湿，凉血解毒,1、用于热病烦闷2、用于湿热黄疸3、用于血热出血4、用于热毒疮疡
夏枯草,辛苦寒，肝胆,清肝明目，消肿散结,1、用于目赤肿痛、头痛眩晕，目珠疼痛2、用于瘰疬瘿瘤
决明子,甘苦咸，微寒。 肝肾大肠,清肝明目，润肠通便,1、用于目赤肿痛，目暗不明2、用于头痛眩晕3、用于肠燥便秘
谷精草,辛肝凉，肝胃,疏散风热，明目退翳,1.用于目赤翳障。2.用于头痛齿痛。
密蒙花,甘微寒，肝,清肝养肝，明目退翳。,目赤翳障
青葙子,苦微寒，肝,清肝明目，退翳,目赤翳障（青光眼患者忌服）
黄芩,苦寒， 肺胃胆大肠,清热燥湿，泻火解毒，止血，安胎,1、用于湿温暑湿，黄疸泻痢，热淋涩痛2、用于肺热咳嗽3、用于热病烦渴，寒热往来4、用于咽喉肿痛，痈肿疮毒5、用于血热出血证6、用于胎动不安
黄连,苦寒， 心肝胃大肠,清热燥湿，泻火解毒,1、用于湿热中阻、脘痞呕恶，泻痢腹痛2、用于热病高热3、用于心烦失眠，胃热呕吐4、用于痈肿疮毒5、用于血热出血证
黄柏,苦寒，肾膀胱大肠,清热燥湿，泻火解毒，泻火解毒,1、用于湿热带下，热淋，足膝肿痛，泻痢，黄疸2、用于疮疡肿毒，湿疹湿疮3、用于阴虚发热，遗精盗汗
龙胆,苦寒，肝胆膀胱,清热燥湿，泻肝火,1、用于阴肿阴痒，带下，湿疹，黄疸2、用于肝火头痛，肝热目赤，高热抽搐
苦参,苦寒，心肝胃大肠膀胱,清热燥湿，杀虫，利尿,1、用于湿热之泻痢、黄疸、带下2、用于皮肤瘙痒，疥癣，麻风3、用于小便涩痛
白鲜皮,苦寒，脾胃,清热燥湿，解毒，祛风,1、用于湿热疮毒，湿疹，疥癣2、用于湿热黄疸3、用于湿热痹痛
椿皮,苦涩寒，大肠肝,清热燥湿，涩肠止泻，止血止带,1.用于湿热泻痢，久泻久痢。2.赤白带下，3.。崩漏，便血，痔血。4.杀虫。
金银花,甘寒，肺心胃,清热解毒，疏散风热,1、疮痈疔肿2、外感风热，温病初起3、热毒血痢
连翘,苦，微寒，肺心胆,清热解毒，消痈散结，疏散风热,1、疮痈肿毒，瘰疬结核2、外感风热，温病初起
大青叶,苦，大寒，心肺胃,清热解毒，凉血消斑,1、疮痈丹毒，口疮，咽痛2、外感风热，温病初起3、热入营血，高热斑疹
板蓝根,苦，寒 心胃,清热解毒，凉血利咽,1、温病发热，头痛，喉痛或身发斑疹2、大头瘟疫，丹毒痄腮
青黛,咸，寒 肝肺,清热解毒，凉血消斑，清肝泻火,1、痄腮喉痹，疮痈丹毒2、热毒发斑，吐血衄血3、肝热惊痫4、咳嗽痰血
贯众,苦，微寒；有小毒肝脾,清热解毒，凉血止血，杀虫,1、风热感冒，热毒斑疹，痄腮2、吐血衄血，便血崩漏3、多种肠道寄生虫病
三丫苦,苦寒，心,清热解毒，祛风除湿，散瘀止痛。,1，疮痈肿痛，蛇虫咬伤。2.外感气诸证。3.风湿痹痛，4.跌打损伤。
蒲公英,苦甘寒，肝胃,清热解毒，利湿,1、疮痈，乳痈，内痈2、热淋，黄疸
蚤休,苦微寒有小毒，肝,清热解毒，消肿止痛，息风定惊,1痈肿疮毒，毒蛇咬伤。2.跌打损伤，3。小儿惊风
木芙蓉叶,辛平，心肝肺,清热解毒，凉血消肿,痈肿疮毒，丹毒，烫伤，跌打损伤。
紫花地丁,苦寒，心肝,清热解毒，消痈散结,1、用于疮痈疔肿，乳痈肠痈2、用于毒蛇咬伤
野菊花,苦辛微寒，肺肝,清热解毒,1、用于疮痈疔肿2、用于咽喉肿痛，风火赤眼
千里光,苦寒，肝,清热解毒，清肝明目,1.用于疮痈疖肿，水火烫伤，2.用于目赤肿痛。
四季青,苦涩寒，肺心,清热解毒，凉血止血，敛疮,1．用于水火烫伤，下肢溃疡，湿疹，疮痈。2.用于肺热咳嗽，咽喉肿痛，热淋涩痛，3.用于外伤出血。
鱼腥草,辛，微寒，肺,清热解毒，消痈排脓，利尿通淋,1、肺痈，肺热咳嗽2、热毒疮痈3、热淋
金荞麦,苦微寒，肺脾胃,清热解毒，消痈利咽，祛风湿。,1.肺痈吐脓，痈肿疮疔，2。肺热咳嗽，咽喉肿痛。3.风湿痹痛。
穿心莲,苦，寒 肺胃大肠，小肠,清热解毒，燥湿,1、温病初起，肺热咳嗽，肺痈，咽喉肿痛2、痈肿疮毒，毒蛇咬伤3、湿热泻痢，湿疹瘙痒，热淋
半边莲,甘淡寒，心小肠肺,清热解毒，利水消肿,1.用于疮痈肿毒，毒蛇咬伤，2，大腹水肿。
半枝莲,辛苦寒，肺肝肾,清热解毒，散瘀止血，利水消肿,1，用于疮痈肿毒，毒蛇咬伤，2.用于跌打损伤，吐衄，血淋。3.用于大腹水肿。
山慈菇,辛寒，有小毒，肝胃,清热解毒，消痈散结,用于痈疽疔毒，发背恶疮，瘰疬痰核。解毒散结作用。
漏芦,苦寒，胃,清热解毒消痈，通乳。,1.用于疮痈，乳痈。2.用于乳房胀痛，乳汁不下。
白花蛇舌草,苦甘寒，胃大肠小肠,清热解毒消痈，利湿通淋,1、用于疮疡肿毒，咽喉肿痛，毒蛇咬伤2、用于肠痈腹痛3、用于热淋
红藤,苦平，大肠肝,清热解毒，活血止痛,用于肠痈，疮痈。跌打损伤，经行腹痛，风湿痹痛
败酱草,辛、苦，微寒，肝胃大肠,清热解毒，消痈排脓，祛瘀止痛,1、用于肠痈，肺痈，疮痈2、用于产后瘀阻腹痛
土茯苓,甘淡，平，肝胃,解毒利咽，通利关节,1、用于梅毒2、用于热淋，带下，湿疹
白蔹,苦辛，微寒，心胃,清热解毒，消痈敛疮,1、用于疮痈肿痛或溃久不敛2、用于水火烫伤
白头翁,苦，寒，大肠  ,清热解毒，凉血止痢,用于热毒血痢
马齿苋,酸寒，肝大肠,清热解毒，凉血止痢，通淋,1.热毒血痢，2.疮痈肿毒，3.崩漏便血，4.热淋，血淋。
鸦胆子,苦寒，有小毒，大肠肝,清热解毒，止痢，截疟，腐蚀赘疣,1．用于热毒血痢，休息痢。2。疟疾，3.鸡眼赘疣。
秦皮,苦涩，寒，大肠肝胆,清热解毒，燥湿止痢，清肝明目,1、用于热毒泻痢，湿热带下2、用于目赤肿痛，目生翳障
铁苋,苦涩凉，大肠肝,清热解毒，凉血止血,1.用于热毒泻痢，2.用于血热出血，外伤出血。
地锦草,苦辛平，肝胃大肠,清热解毒，活血止血，利湿退黄,1.用于热毒泻痢，2.用于热毒疮痈，毒蛇咬伤。3.用于多种出血证，4.用于湿热黄疸。
射干,苦，寒   肺,清热解毒，利咽祛痰,1、用于咽喉肿痛2、用于痰痈咳喘
山豆根,苦，寒，肺胃,清热解毒，利咽消肿,1、用于热毒雍结之咽喉肿痛2、用于牙龈肿痛
马勃,辛平，肺,清热解毒，利咽，止血,1，咽喉肿痛，咳嗽失音。2.吐血衄血，外伤出血。
橄榄,甘酸平，肺,清热解毒，利咽生津,1.用于咽喉肿痛。2。用于中酒毒和鱼蟹毒。
余甘子,甘酸涩凉，肺脾胃,清热解毒，利咽生津，润肺化痰,用于咽痛，咳嗽。本品嚼食可治食积呕吐，腹痛；鲜果嚼食可治高血压病。
金果榄,苦寒，肺大肠,清热解毒，利咽，止痛,1．咽喉肿痛2。疮痈肿痛，泻痢腹痛，脘腹疼痛。
朱砂根,苦辛凉，肺大肠,清热解毒，利咽，散瘀止痛,1.用于咽喉肿痛，2.用于风湿痹痛，跌打损伤。
木蝴蝶,苦甘凉，肺肝胃,清热利咽，疏肝和胃,1.用于咽痛肿痛，2.用于肝胃气痛。
千层纸,苦甘凉，肺肝胃,清热利咽，疏肝和胃,1.用于咽痛肿痛，2.用于肝胃气痛。
土牛膝,苦酸，平，肺肝,清热解毒，活血散瘀，利水通淋,1、用于痛经、经闭，风湿痹痛2、用于热淋
胖大海,甘，寒，肺大肠,清热利咽，润肺开音，清热通便,1、用于咽喉肿痛，咳嗽失音2、用于燥热便秘
肿节风,辛苦平，有小毒，肝肺大肠,清热解毒，祛风除湿，活血止痛。,1.用于感冒发热，咽痛咳嗽，泻痢腹痛。 2.用于风湿痹痛，3.用于跌打损伤。
绿豆,甘，寒，心胃,清热解毒，消暑，利尿,1疮痈肿毒2、药食中毒3、用于暑热烦渴、小便短赤
生地黄,甘、苦，寒 心肝肾,清热凉血，养阴生津,1、用于热入营血证2、用于吐血衄血，便血崩漏，热毒湿疹3、用于热病口渴，内伤消渴，肠燥便秘
玄参,甘、苦、咸，寒，肺胃肾,清热凉血，滋阴解毒,1、用于热入营血证2、用于咽喉肿痛，瘰疬痰核，脱疽3、用于劳嗽咳血，阴虚发热，消渴便秘
牡丹皮,苦、辛，微寒 心肝肾,清热凉血，活血散瘀,1、用于血热斑疹吐衄2、用于虚热证3、用于经闭痛经，癥瘕积聚，跌打损伤4、用于疮痈，肠痈
赤芍,苦，寒，肝,清热凉血，祛瘀止痛,1、用于血热之斑疹、吐衄2、用于经闭痛经，癥瘕积聚，跌打损伤，疮痈肿痛3、用于目赤肿痛
紫草,甘咸寒，心肝,凉血活血，解表透疹,1.斑疹紫黑。麻疹不透。2.痈疽疮疡，湿疹瘙痒，水火烫伤。
水牛角,苦咸寒，心肝胃,清热凉血，解毒消斑,1.热入营血证，2.血热吐衄，3.疮痈，喉痹
青蒿,苦、辛，寒，肝胆肾,清虚热，凉血，解暑， 截虐,1、用于热病伤阴，夜热早凉2、用于阴虚发热3、用于暑热外感4、用于疟疾
地骨皮,甘寒，胃肝肾,清虚热，清热凉血，清肺降火,1、用于阴虚发热2、用于血热出血3、用于肺热咳嗽泄热而生津止烦渴泄热而泻肾经浮火
白薇,苦咸寒，胃肝,清虚热，清热凉血，利尿通淋，解毒疗疮。,1.用于阴虚发热，产后虚热，2.用于温病热入营血，3。用于热淋，血淋，4.用于疮痈咽痛，毒蛇咬伤。
银柴胡,甘微寒，肝胃,清虚热，除疳热,1.用于阴虚发热，2.用于疳积发热。
胡黄连,苦寒，心肝胃大肠,清虚热，除疳热，清湿热,1.阴虚发热，2.用于疳积发热。3.用于湿热泻痢，痔疮肿痛。
大黄,苦，寒，脾胃大肠肝心,泻下攻积，清热泻火，止血，解毒，活血祛瘀，清泻湿热,1、胃肠积滞，大便秘结2、血热妄行之处血证3、热毒疮疡，丹毒及烧烫伤4、瘀血诸证5、黄疸，淋证
芒硝,咸苦，寒，胃大肠,泻下，软坚，清热,1、用于实热积滞，大便燥结2、用于口疮，咽痛，目赤及疮痈肿痛3、外敷尚可回乳
番泻叶,甘苦寒，大肠,泻下导滞,用于便秘。泻下行水消胀。
芦荟,苦寒，肝大肠,泻下，清肝，杀虫,1.用于热结便秘，2.用于肝经实火证，3.用于小儿疳积。
火麻仁,甘平，脾大肠,润肠通便,用于肠燥便秘
郁李仁,辛苦甘，平，大肠，小肠,润肠通便，利水消肿,1、用于肠燥便秘2、用于水肿腹满，脚气浮肿
松子仁,甘温，肺肝大肠,润燥滑肠，润肺止咳,1.肠燥便秘，2.肺燥咳嗽，3.血燥生风眩晕，风痹。
甘遂,苦，寒；有毒，肺肾大肠,泻下逐饮，消肿散结,1、用于水肿，臌胀，胸胁停饮等证2、用于风痰癫痫3、用于痈肿疮毒
京大戟,苦、辛，寒；有毒，肺肾大肠,泻下逐饮，消肿散结,1、用于水肿，臌胀，胸胁停饮2、用于痈疮肿毒，瘰疬痰核
芫花,辛、苦，温；有毒，肺肾大肠,泻水逐饮，祛痰止咳， 杀虫疗疮,1、用于胸胁停饮，水肿，臌胀2、用于咳嗽痰喘3、用于痈疽肿毒，秃疮，顽癣
商陆,苦寒，有毒，肺肾大肠,泻下利水，消肿散结,1.用于水肿，臌胀，大便秘结，小便不利。2.用于疮痈肿毒。
牵牛子,苦，寒；有毒，肺肾大肠,泻下，逐水，去积， 杀虫,1、用于水肿，臌胀2、用于痰壅喘咳3、用于热结便秘，食滞等4、用于虫积腹痛
千金子,辛温，有毒，肝肾大肠,泻水逐饮，破血消癥,1.用于水肿，臌胀，二便不利，2.用于癥瘕，经闭，3.顽廯，癞疮，黑痣疣赘及蛇伤。
巴豆,辛，热；有大毒，胃大肠肺,峻下冷积，逐水退肿， 祛痰利咽，外用蚀疮,1、寒邪食积阻滞肠胃，卒然腹满胀痛，大便不通，气急口噤者2、腹水臌胀3、喉痹痰阻及寒实结胸4痈疽，疥癣，恶疮
独活,辛、苦，温，肾膀胱,祛风湿，止痹痛，解表,1、风寒湿痹痛2、头风头痛，风寒表证及表证夹湿
防己,苦、辛，寒，膀胱肾脾,祛风湿，止痛，利水消肿,1、用于风湿痹证2、用于水肿，小便不利，脚气肿痛
川乌,辛、苦，热；有大毒，心脾肝肾,祛风除湿，散寒止痛,1、用于风寒湿痹，拘急止痛2、用于寒湿诸痛
蚕砂,甘、辛，温，肝脾胃,祛风除湿，舒筋活络，化湿和中,1、用于风湿痹痛2、用于吐泻转筋
松节,苦温，肝肾,祛风除湿，止痛,风湿痹痛，跌打损伤。善祛筋骨间风寒湿邪而止痹痛
丁公藤,辛温，有小毒。肝脾胃,祛风除湿，消肿止痛,1.用于风寒湿痹，半身不遂。2.用于跌打肿痛。3.发汗解表，用治风寒表实无汗之证。
独一味,苦微寒，有小毒。肝脾,祛风除湿，活血化瘀，消肿止痛,1.用于风湿痹痛。2.用于跌打筋骨，闪腰岔气。3.外敷治外伤出血
闹羊花,辛温，有大毒，肝,祛风除湿，散瘀定痛,风寒湿痹，跌打肿痛。麻醉止痛，外用还可治顽痹。
寻骨风,辛苦平，肝,祛风除湿，通络止痛,风湿痹痛，肢体麻木，跌打伤痛。胃痛，牙痛
马钱子,苦温；有大毒，肝脾,通络止痛，散结消肿,1、用于风湿痹痛，跌打肿腿2、用于痈疽肿痛
雷公藤,辛、苦，寒；有大毒，心肝,祛风除湿，通络止痛，活血止痛，杀虫解毒,1、风湿顽痹2、疔疮肿毒，腰带疮，麻风，顽癣
徐长卿,辛，温，肝胃,祛风止痛，活血通络，止痒,1、用于风湿痹痛及其它各种痛证2、用于跌打损伤3、用于风疹，湿疹，顽癣4、解蛇毒
两面针,辛、苦，平；有小毒，肝胃,祛风通络，活血散瘀，行气止痛,1、用于风湿痹痛，肢体麻木2、用于跌打伤痛3、用于胃痛，牙痛
海桐皮,苦辛平，肝,祛风除湿，通络止痛，杀虫止痒,1.风湿痹痛，四肢拘挛。2.用于疥廯，风疹，湿疹。
八角枫,辛微温，有小毒，肝,祛风除湿，舒筋活络，散瘀止痛,1.用于风湿痹痛，瘫痪麻木，2.用于跌打损伤。用于手术麻醉止痛。
威灵仙,辛、咸，温，膀胱,祛风湿，通经络，消痰水，治骨鲠,1、用于风湿痹痛，拘挛麻木，瘫痪2、用于痰饮积聚3、用于诸骨鲠喉
秦艽,苦、辛，微寒，胃肝胆,祛风湿，舒筋络，退虚热，清湿热,1、用于风湿痹痛，筋脉拘挛，手足不遂2、用于骨蒸潮热，小儿疳热3、用于湿热黄疸
络石藤,苦微寒，心肝,祛风通络，凉血消肿,1.用于风湿痹痛，筋脉拘挛，2.用于喉痹，疮肿。
木瓜,酸，温，肝脾,舒筋活络，除湿和胃,1、风湿痹痛，筋脉拘挛，脚气肿痛2、吐泻转筋
蕲蛇,甘、咸，温；有毒，肝,祛风通络，定惊止痉,1、用于风湿顽痹，口眼喎斜，半身不遂2、用于麻风，疥癣，皮肤搔痒等3、用于小儿急慢惊风，破伤风
乌梢蛇,甘，平，肝,祛风通络，定惊止痉,1、用于风湿痹痛2、用于麻风，疥癣，皮肤瘙痒3、用于小儿急慢惊风，破伤风
稀莶草,苦、辛，寒，肝肾,祛风除湿，通经活络，清热解毒,1、用于风湿痹痛，肢体麻木，半身不遂2、用于疮痈肿毒，湿疹瘙痒3、降血压
臭梧桐,辛苦凉，肝,祛风除湿，通络止痛，降压,1.风湿痹痛，肢体麻木，半身不遂。2，用于高血压病，
丝瓜络,甘平，肺胃肝,祛风通络，化痰解毒,1.用于风湿痹痛，2.用于胸胁痛，3.用于咳嗽痰多，4.用于疮肿，乳痈，5.治乳汁不下。
桑枝,苦平，肝,祛风通络，行水消肿,1.用于风湿痹痛，四肢拘挛，2.用于水肿，脚气浮肿。
伸筋草,苦辛温，肝,祛风除湿，舒筋活血,1.风湿痹痛，筋脉拘挛，皮肤不仁。2.用于跌打损伤。
老鹳草,辛苦平，肝大肠,祛风除湿，舒筋活络，解毒止痢,1．用于风湿痹痛，2.用于湿热泻痢。
路路通,辛苦平，肝胃膀胱,祛风活络，利水，通经下乳,1.风湿痹痛，肢麻拘挛，跌打损伤，2.水肿，小便不利，3经闭，乳房胀痛，乳汁不下。4.祛风止痒
穿山龙,苦辛平，肺肝,祛风除湿，活血通络，化痰止咳,1.用于风湿痹痛，跌打损伤。2.用于咳嗽痰多。3.治疮肿，乳汁不下及经闭。
海风藤,辛苦微温，肝,祛风湿，通经络。,用于风湿痹痛，筋脉拘挛。用于跌打损伤之瘀血肿痛。
五加皮,辛、苦，温，肝肾,祛风湿，强筋骨，利尿,1、用于风湿痹痛2、用于腰膝软弱，小儿行迟3、用于水肿，脚气浮肿
桑寄生,苦、甘，平，肝肾,祛风湿，益肝肾，强筋骨，安胎,1、用于风湿痹痛，腰膝酸软等2、用于胎漏下血，胎动不安
狗脊,苦、甘，温，肝肾,祛风湿，补肝肾，强腰膝,1、用于风湿腰痛脊强，肾虚腰膝软弱2、用于肾虚尿频，遗尿，白带过多
千年健,苦辛温，肝肾,祛风湿，强筋骨，止痹痛,用于风湿痹痛，筋骨无力。
鹿衔草,苦肝平，肝肾肺,祛风湿，强筋骨，调经止血，补肺止咳,1.用于风湿痹痛，腰膝酸软。2.用于崩漏经多，3.肺痨咳血，肺虚久咳。4.补肝肾，止血
雪莲花,微苦，甘温，肝肾,祛风湿，强筋骨，温肾阳，活血通经,1.用于风寒湿痹，筋骨无力。2.用于肾虚阳痿，3.用于月经不调，痛经白带。止血，治外伤出血。
广藿香,辛微温，脾胃肺,化湿，解暑，止呕,1、用于湿滞中焦证2、用于暑湿证及湿温证初起3、用于呕吐
佩兰,辛平，脾胃肺,化湿，解暑,1、用于湿滞中焦证2、用于外感暑湿或湿温初起
苍术,辛苦温，脾胃,燥湿健脾，祛风湿，发表,1、用于湿滞中焦证2、用于风湿痹痛3.外感表证夹湿之证
厚朴,苦辛温，脾胃肺大肠,燥湿，行气，消积，平喘,1、用于湿阻中焦证2用于肠胃积滞3、用于痰饮喘咳
砂仁,辛，温，脾胃,化湿开胃，温脾止泻， 理气安胎,1、用于湿阻中焦，脾胃气滞证2、用于脾胃虚寒吐泻3、用于妊娠气滞恶阻及胎动不安
白豆蔻,辛温，肺脾胃,化湿行气，温中止呕,1、用于湿滞中焦及脾胃气滞证2、用于呕吐
草豆蔻,辛，温，脾胃,燥湿行气，温中止呕,1、用于寒湿中阻，脾胃气滞证2、用于虚寒夹湿久泻
草果,辛，温，脾胃,燥湿散寒，除痰截虐,1、用于寒湿中阻证2、用于疟疾
茯苓,甘淡平，心脾胃,利水渗湿，健脾安神,1、水肿、小便不利2、脾虚诸证3、心悸，失眠
猪苓,甘淡平，肾膀胱,利水渗湿,水肿、小便不利，泄泻，淋浊，带下
泽泻,甘淡寒，肾膀胱,利水渗湿，泻热,1、水肿、小便不利，痰饮，泄泻2、湿热带下，淋浊
薏苡仁,甘淡，微寒，脾胃肺,利水渗湿，健脾止泻，清热排脓，除痹,1、水肿、小便不利2、脾虚泄泻3、肺痈，肠痈4、湿痹筋脉拘挛
赤小豆,甘，平，心小肠,利水消肿，解毒排脓，利湿退黄,1、用于水肿，小便不利2、用于痈疮肿毒3、用于黄疸
冬瓜皮,甘微寒，肺小肠,利水消肿,水肿；暑热烦渴
玉米须,甘平，膀胱肝胆,利水消肿，利湿退黄,1水肿，小便不利，淋证。2.黄疸
葫芦,甘平，肺小肠,利水消肿,面目浮肿，大腹水肿，脚气肿胀。
香加皮,辛苦温，有毒，肝肾心,利水消肿，祛风湿，强筋骨,1.利水，小便不利，2.风湿痹痛，3.肝肾不足，筋骨痿软无力。
泽漆,辛苦微寒，有毒，大肠小肠肺,利水消肿，化痰止咳，散结,1.大腹水肿，四肢面目浮肿。2.肺热咳嗽及痰饮喘咳。3.瘰疬，痰核，廯疮。
蝼蛄,咸寒，膀胱胃,利水消肿,1.水肿，小便不利，2.石淋，癃闭
车前子,甘，寒 ，肾肝肺,利尿通淋，渗湿止泻，清肝明目，清肺化痰,1、用于热淋，水肿、小便不利2、用于暑湿泄泻3、用于目赤肿痛，目暗昏花4、用于热痰咳嗽
滑石,甘、淡，寒，膀胱胃,利尿通淋，清热解暑，祛湿敛疮,1、热淋，石淋2、暑热烦渴、湿温初起3、收湿敛疮
关木通,苦，寒，心小肠膀胱,清热利水通淋， 痛经下乳,1、用于热淋，脚气肿胀2、用于口舌生疮，心烦尿赤3、用于血瘀闭经、乳少4、用于湿热痹痛
通草,甘、淡，微寒，肺胃膀胱,利尿通淋，下乳,1、用于湿热淋证2、用于产后乳汁不通或乳少
瞿麦,苦，寒，心小肠膀胱,利尿通淋,用于热淋
扁蓄,苦微寒，膀胱,利尿通淋，杀虫止痒,1、用于热淋，血淋2、用于湿疹阴痒，虫积腹痛
